Timestamp,Participant ID  (given to you by the experimenters),Age,Gender,1. When a promise is broken… ,2. When both choices feel right… ,3. When things don't go as I hoped… ,4. When the hard work finally pays off… ,5. If I am asked to compromise… ,6. When I realized someone was paying attention… ,7. Saying goodbye to something that mattered… ,8. When what used to work no longer works…,9. When I have to choose what comes first…,10. When I realize I cannot control what happens next…,11. When a person feels they were treated unfairly by their supervisor... ,12. If a person feels pulled between their own view and the expectations of others...,"13. A person works very hard on something important, but it fails...",14. A team celebrates a project that succeeded. The person who led it ... ,"15. A person believes a decision their group supports is wrong, they will…     ",16. When a person sees someone make a sacrifice for others...,17. When a person has to leave a role or place that was important to them...,18. A person realizes their plans need to change significantly. This might affect their existing beliefs...,19. When person must choose between two opportunities that both seem meaningful... ,20. A person must make an important decision and take on a new responsibility without complete information... 
4/9/2026 3:54:07,p12,23,Male,trust is lost.,"whatever option you choose, that's the good one!","keep on working, putting some daily efforts and persever to reach your goals.","it's so satisfiying! You can finally savor the sweet relief of getting things done. And yet, our human nature quickly catches up with us, like Sisyphus, we soon find another struggle to face or another mountain to climb.",that means the person I'm talking to probably genuinely cared about that choice.,"I was fired up! Having even one attentive listener, someone genuinely eager to learn, might one day change the course of history. Who knows?","isn't the end of everything, just a step to something much nicer.",then just update your software and get it done. Check out the definition of craziness: looping on the same actions and hoping on totally different results.,": family > work > learn (sports, lecture etc.). For more specific choices, I'm looking for the best path to reach my long term goal, almost trying to do a gradient descent on life choices.",then I focus on what I can manage.,then comes frustration.,", it’s an inner battle where, day after day, some people can lose themselves.",", learn from the mistakes, find solutions and get back to it.","is proud of the whole team, both individuals and synergies in teamwork. But he's maybe already looking ahead for the next challenges, next projects or even clients.","productivity will drop, particularly when their heart isn’t in it.","2 kinds of emotions mix, both sadness for the tragedy of the situation and admiration for the deed.","it can feel daunting to start over somewhere new. But why wouldn’t they recreate the same success, or even something better, in their next role or environment?","and there’s also the whole environment they’ve been rooted in, sometimes for years: family and friends no longer close by.","again, whatever choice they do, it'll be the good one.",", then get the big picture first. Then they have to find the right people, gather all the missing information, and fully step into the role."
4/15/2026 16:55:37,p13,21,Male,It gets on my nerves when I think that people don’t keep their word,"If it’s a rational choice, I go by my friends’ advice; otherwise, I go for the one that amuses me the most","At first I get frustrated, but then I tell myself it's no big deal","I'm really proud and happy, and it motivates me to work even harder",It usually doesn't bother me; I'm pretty open-minded,I'll start the conversation if I get the feeling he won't dare,"It's really hard at first, and I can't stop thinking about it, but luckily I have a life that helps me take my mind off it pretty quickly.","Try to fix the problem, and if it takes too long, find another way","Purely rational if there is a difference; otherwise, random",It doesn't matter to me; I accept that I can't control things that are beyond my control ,"Feeling frustrated, annoyed, or even angry at people who may not even be to blame",Tending to compromise one's own point of view in order to meet others' expectations due to social pressure,Sadness and an overwhelming surge of emotion that could cause her to completely break down,"He feels very proud of himself and his team because he sees the project as his ""baby""",Leave the group if it goes against the values that are most important to them.,Gratitude and admiration for having the courage to do it,"If it's intentional, it's a mix of sadness and the joy of having had a good time. If it's not intentional, it's sadness and maybe some frustration.","A refusal to accept the new paradigm, even if it is detrimental to the individual, because it is extremely difficult to challenge one’s most deeply held beliefs.","The heart always has its own preferences; reason simply brings balance to the whole, but people seize the opportunity that holds the top spot in their hearts","Gamblers will love this bet, the risk, and the gamble, and feel the adrenaline rush, while others will be very stressed about not having made the best choice."
4/6/2026 7:55:04,p14,26,Male,Adjust your trust.,follow your gut.,I use plan B.,celebrate.,I try and compromise without jeopardizing my values.,I feel glad and my respect for that person increases.,is difficult but sometimes necessary.,then it's time to be creative.,It's usually my family or my duty.,"I take solace, knowing that I did my best.",Resentment grows.,"They should take a step back and try to choose objectively, potentially create a compromise.",their hard work still has value.,Deserves praise but should celebrate their team that made the project possible.,Stand up to their group and try to reason with them.,it's inspiring.,It can be sad but will remain an important part of their history.,They shouldn't fear to change their beliefs but should welcome that.,"They should make a list of pros and cons, and decide, but never suppress their instinct.","That person has to do their best to evaluate the situation with the information at hand, and usually trust their instinct to deal with the incomplete information."
4/5/2026 16:07:06,p15,23,Male,It feels awful if i'm the one doing it (both on the short and long term) if it is someone else i feel just very confused about why they broke it,I either follow the one making the decision or follow the one that either gives me more value (money or instant happiness),I feel confused and stuck and need to go back to a more happy place,it feels great but i'll always nickpick on how it could have gone even better ... or i'll unfortunately rest on my laurels,i counter compromise and try to understand why the compromise ,It feels nice and suprising,"Heartwrenthching , i have a hard time letting go of things ... but i have a great ability of forgetting just as quickly ","I would continue to test the old ways before starting to find a new way , a supposedly better way","I think about how it affects me, my current situation, my wellbeing and those of the people i'm close to ","I feel empty and let it go , with all of the infos of world doom and the bad things happening all around the world constantly and being brought to my face every second (because it will be attention grabbing), i just try not to think about it too deeply and move on",They would either go to confront the supervisor (or someone higher if possible) or let it be ,They will follow others as long as their wellbeing is assured,"They try again after resting , with different methods and by talking with others about why and how it failed",is as responsible as the rest even if they are the one presenting it,"If the flow state is already in place they will possibly just shut up and follow the group , if not  someone would generally speak up and try to counter argument or compromise","It's generally well received, people would see it would support it (no would they support the sacrifice or make a monetary donation , that's another story)",They will find an alternative that would be just as important (at least in spirit),"If it affects their existing beliefs , they would try and rationalise it into their direction or ignore some things so that their narrative would fit  (PS: i personnally feel i am extremely biased because of all the MAGA rhetoric i keep finding on my social feed and how they are unmoving of their belief even with a lot of strong arguments against their belief, i know their are more examples of people staying on task especially if the alternative shakes up too much of their beliefs , but our current worldwide situation is making this question very biased i feel like)","Choose the one their friends are, or have already have a connection to ","If they are a superior, they woud just blame it on others if it doesn't work and take all the credits if it works 
if not , they would feel for their gut instinct"
4/11/2026 14:40:02,p16,22,Male,i'am deeply disappointed and i'am losing confidence,"in this case , i try to analyze without emotion and purely rationally.","This doesn't necessarily affect me because for important things, I have a plan B, C, or something to help me bounce back. Nothing goes as planned, and that's the whole point of life.","I am, of course, happy and proud, and this gives me the confidence I need to stay true to my convictions; but generally speaking, if there are results, I’ve already set myself a new, even more ambitious goal. I also wonder why there is a positive result and whether it’s positive for me or for others","It's only natural that I evaluate the request. I ask myself: Why? What are the implications of making compromises? Is the request unreasonable? What positive impact will these compromises have, and who will be affected by them?","I love sharing, but I’m always shy when I talk about myself and the spotlight is on me, though I have no problem discussing general topics or complimenting others (which doesn’t stop me from giving talks, pitches, etc., haha…). But it’s always interesting; it helps you gauge, to some extent, whether your topic is interesting to others. I adjust my speech based on that. ",tout dépend de quoi on parle. si ce n'est pas un choix en general ce n'est pas du tout plaisant,"""here we go again ! "" , c'est un peu embettant mais je me replonge dedans pour résoudre le probleme","It's not a problem for me; I'm just suggesting it, but I'm not forcing anyone. ","The unexpected is confusing, but I find a way to minimize the impact as much as possible, and if it’s not a problem, then I embrace it with passion.","loss of trust, frustration, and a loss of willingness to cooperate. This can lead to resentment. ","She may feel like no one is listening to her, and she may withdraw into herself.","Usually she gets discouraged, takes a break to think things over, and either gets back to it with renewed energy or gives up on the project","She is proud of her team, happy to have seen the project through to completion, and to be able to celebrate it with those with whom she shared the adventure.",She's going to talk to the team and share her concerns,She's probably touched by the selfless gesture—if there's a good reason for it—and would surely want us to do the same for her.,She's feeling nostalgic; she's going to reminisce about the good old days. ,"She'll ask herself questions to find the answers, and maybe ask others","She'll weigh the pros and cons, consider who will be affected, what people will think, and whether it aligns with her values, etc.",She's stressed about making the wrong choices; she might panic.
4/15/2026 18:32:26,p17,21,Female,I’m hurt,I pick both,I’ frustrated,I feel good,I do,I feel seen ,Is hard,It’s stressful,I do it,I feel stressed ,Get mad,Generate a conflict ,Be unmotivated,Feels happy,Try to debate,Feel hopeful,Nostalgic and sad ,Mind opening ,The one they chose will be the right one,Get the information
4/3/2026 9:13:26,p18,22,Female,your trust is broken ,it feels weird,I am disappointed ,i am relieved ,then i accept ,i feel seen,is really hard,i feel nostalgic ,i overthink ,i feel frustrated ,they feel small ,then he can’t decide,if he doesn’t trust himself ,can feel proud ,talk ,he is impressed ,he would feel sad,because he is not prepared for that,then he has to follow his heart ,that is related to him
4/3/2026 9:22:11,p20,22,Male,Everything is,I do a avdersarial point of vue,I take a step back,I work harder,I dont,I dont care,Dont know how to do goodbyes ,Try something else,Urgency importance matrice,I calm down,Work harder amaze them,Merge both,Work harder or move on,Let them celebrate ,Tell them,She is willing to also sacrifice herself,If you have to then do it with no regrets,TRUE,Find the worst one,Rely on other knowledge 
4/16/2026 4:12:40,p21,21,Male,I reevaluate my relationship with the person,I take too long to decide,I just keep going and hope for better next time,I'm really excited to work more,I understand and try to do an effort,I'm grateful,Hurts but needs to be accepted,I must realize I need to change ,I have a hard time deciding,Then it's not important,They will rebel,They will feel crushed,They can learn from it,Needs to empower others to feel like they're part of the success,Try to make their argument,They feel grateful,It's sad,But it would be immature not to accept that,They will take more time to choose ,It will be a tough choice
4/3/2026 13:07:39,p22,39,Male,I would never contact that person or organisation ever.,Go with the heart,Try harder till you have strength to go. There is always hope if you try.,Not sure,Would never,Would appreciate their time and learn if there was something which can be improved,Never easy but it would be for something more important,"See what broke it, any new upgrades or what not.",I would think again,I will still try and pull it out,"I would leave the place, there is no point fighting if you are not in power. I have tested this a few times and always your supervisor will win",Do the right thing,There must be a great deal of learning from the process. Utilize that for the next process,should celebrate it with the team and give the credit to the team on this.,leave the group,Should appreciate that and compensate it,Definitely something is wrong at the top level. A lot politics ,I don't think someone should change their plan for an organisation.,Think of the one you always dreamed of,Never take a decision if you do not have ample information
4/9/2026 11:35:52,p23,22,Male,a heart is broken.,none of them are right.,I fight harder.,I will retire.,I won't accept.,I feel confident about my teaching skills.,is always hard.,I am always there to fix it.,I feel insecure.,I fight towards having the control.,they tend to overreact.,becomes extremely stressed.,because he was not following the right approach.,thinks on how to improve it.,not take into account certain aspects of the problem. This will lead to a complete failure of the mission.,thinks he is crazy. He should look after himself.,a piece of their heart is left behind together with the role or the place.,", leading to the loss of self confidence and losing motivation towards their final objective.",", he will hesitate to choose the best option because of external opinions.",", which may lead to uncertainty about whether it is correct or not. "
4/5/2026 16:31:23,p24,27,Male,you tend to trust that person less,then it must be right and you feel good,lesson learned,"start the next challenge and work hard again, even harder. Achieving goals and resting is depressing. Being challenged by the journey is the real deal. But prevent getting frustrated during the challenge, though, and give your best during that. Otherwise that's most definitely the worst-case scenario.",Evaluate the situation and see whether it is the best option to compromise. sometimes you need to compromise. ,depends on what he is paying attention to.,is hard but you'll grow from this,sort it out. face criticism of changing a working system sooner and unexpectedly to prevent seeing a working system fail after a long time. ,i overthink it a lot,surrender to the current of the ocean to await the outcome.,accept it. it's your supervisor. one day you become a supervisor and you'd understand their struggles of managing as well.,comprise. you are not always right. learning to comprise could be a skill,lesson learned,should thank the teammates. the unity made you succeed. the leader can be proud of managing the group and gathering the right people.,"see if you can stand your ground when you truly believe in something. But if others don't accept it and choose a different path, and even suffer a defeat in the process, you can be proud of your qualities, and people will listen to you more.",that person is very reliable and good to have arond,need to grow that everything could be temporary,then they haven't really looked into that belief thoroughly enough to be truly convinced,"Life is abstract. You don't always have to be logical and cautious. Take the path your heart desires, even if it seems less logical.",communicate that you are not informed enough. then people would understand your decision straightaway that you were meant to take action spontaneously
4/9/2026 12:30:25,p25,21,Male,"i feel anger and try to find out ""why""",i try to do math of cost-benefit or just simple heads or tails,"i try to find out ""why"", detect causes and try to ensure that things go as hoped next time",i feel the dopamine and reward myself. Also think about the bright future!!,"i try to find turnaround, the legal/ethical ways of going forward.","i appreciate the attention, and return attention back as well","is like hell. Full of anxiety, sad thoughts, sad songs, philosophical thoughts about ""bad"" sides of world","i try to find out ""why it no longer works"", what's changed? what can i do to make it work again? ",i combine math and emotions and try to determine the true first,i go with the flow,they feel disappointment,"they should discuss constructively, or do the math to find the best option or find a middle ground",probably they feel disappointment and if they are still feeling alive about that work try to find out whats wrong.,feels the true honor,either follow the crowd or spread the word and led the change,feels respect for that people and humanity' nature,feels anger and/or disappointment. Probably they will try to come back or try to feel like that important role/place on their next role/place,comprehensively,they should try to find out which one is more meaningful by discussing with others or seeing doing their own deep research with a fresh mind,they feel complete anxiety and uncertainty
4/7/2026 13:12:19,p26,26,Male,I feel sad but won't tell.,I wait until the decision feels right.,I think about the next step.,I feel relieved.,I'll get opinions first.,I felt like I mattered.,hurts but makes me feel grateful.,I try to find new solutions.,I choose by process of elimination.,I accept the situation.,they will tell their colleagues.,their decisions will swing between the two.,they will question their self worth.,thanks everyone.,try to convince others.,they will gain trust in them.,they will try to find a better role.,in their planning skills.,they will gather as much information as possible before deciding.,they would not feel at fault in case of a problem.
4/18/2026 14:51:07,p28,40,Male,trust is gone,choose both,go with the flow,thats nice,i wont,I am fond,should be done,we are in research,its the hardest!,i will let it go,figure it out,it is called life,and then it is over,is happy,say it out loud,then I am impressed,it is tragic,but it is fine.,toss a coin,it is not easy.
4/13/2026 18:44:48,p30,38,Female,I realize I can no longer trust someone ,Choose the one that gives the most options,I figure out what when wrong and what to do next,It builds confidence and security,I see if the outcome is reasonable for both parties. It’s a negotiation.,They bring up the little details later,Grieve it and let it go,Keep trying a few times and then try something new,Think about the dependencies of the tasks and if one decision will change the options for the subsequent decisions,I don’t believe it and I keep trying different things.,They might start to check out,That causes a lot of stress and the weight of trying to please others,They should consider how important it is and then try again,Feels proud,Make noise about it for a while and then eventually quietly disagree,They may become inspired. ,There is a feeling of letting go that comes with the growth,About what the plans would enable them to do,They should use their gut enthusiasm as a guide,As information is never complete. They rely on their experience and logic and must have a bit of fearlessness to take the leap
4/10/2026 18:29:35,p31,57,Male,trust is diminished,look for the two-way door,I get frustrated,look for where to double down,I try to see from the opposite viewpoint,it reinforces my confidence,is a normal part of the cycle of life,there must be a reason. Things don't change on their own.,I try to think for the longer term,Then full speed ahead,"it's a reminder of how normal the situation is, and part of what everybody experiences.",they should shrug off those external expectations.,occasionally. And yet surely learned things in the process.,"rightly deserves significant credit, and should also recognize the team.",disagree respectfully and commit,admiration,it's a loss for both the role/place and the person themselves,in a good way. This is a part of growth.,then they should balance gut feel and analytical tradeoff analysis,thus they should look at what their support network is.
4/7/2026 11:08:30,p32,32,Male,i feel betrayed.,I just pick one.,I'm depressed but try to work with what's on hand.,I celebrate.,I weigh the options and decide what to do.,I'm happy and will pay back the favor.,can be sad.,we need to try to find new solutions.,I choose whatever gets me the furthest.,I do my best but also make sure to keep open options.,they'll be down and not perform as well.,they need to figure out what's more important to them.,they'll be down and doubtful.,feels validated.,argue against it.,they value this sacrifice and will help the person if possible.,they'll be sad.,they'll need to be flexible and update their views.,they'll have a hard time deciding which is more important to them.,they gather whatever information they can and then jump into what feels right.
4/13/2026 10:35:16,p34,32,Female,someone can get hurt,it's hard to choose,I can open myself to other possibilities,it's satisfying,"depending on what it is, I'm more than fine to compromise ",I get curious on what they were paying attention ttoo,can be sad,we need to find other ways,it's a good exercise for priorization,"depending on what it is, I can get anxious or I let it go of expectations",it must be hard for them,it can be conflicting,they can learn a lot,is probabaly going to be happy and proud of their team,try to show their group that the decision is wrong,they might feel inspired or touched,they must have a good reason to do so,that they can control things,it's a good problem to have because it means that there arre meaningful things in the life of the persoon,they can follow their gut
4/10/2026 15:26:27,p35,23,Female,you can't trust the other person anymore,it is difficult to understand what to do,I get really stressed,I feel relieved,i am open to it,i am satisfied and I feel like what I said was interesting,makes me cry,I get frustrated,I sometimes get overwhelmed,I get anxious,they should speak up about it,they should work on themselves and realise expectations of other people don't really matter,so even though the person is frustrated they should try again and not get discouraged by failure,raises a toast,need to argue about it respectfully,they sympathise for the person,they can react very differently,and make them feel stressed,it is very difficult to understand what the right choice might be because in the end there is no right choice,so they should try to gather as much information as they can to then make the final decision
4/8/2026 12:58:18,p36,34,Female,Someone is sad,It's tough to choose,I try again,I am grateful,I'll consider,I'm surprised,End of a chapter,Things change,Decision paralysis,That's life,It's awful,Self-awareness,I empathize,Is happy,Feel conflicted,Feel touched,Feel sad,Paradigm shift,Negotiation,Welcome to my life
4/10/2026 9:46:34,p37,28,Male,I feel unsafe and no trust.,I feel self-affirmed,I figure out what is wrong and how to save it.,I feel relived,I will think about whether it threats my true value.,I will do things more carefully.,I feel sad,I feel there is something changed and I want to know why,I will rank carefully,I will manage my expectations,they will feel sad,they will feel unease and cannot be themselves,they will feel sad,felt grateful to others,try to reflect on what leads to the difference in belief,they will admire him or her,they feel sad,in how the thing works,he feels hard to choose,he feels unsafe
4/14/2026 12:10:10,p38,51,Female,the expectation is unfulfilled.,just pick any one.,I reflect on the experience.,I feel validated.,I consider it carefully before making any action.,I tried to explain my reasoning.,is never an easy task.,try something different.,think of my values.,I reevaluate if it is right for me.,they should consult their advisors.,they should try to discuss it.,they should try another idea.,is the heroine.,bring it up with the leader.,they should acknowledge that person.,They get a goodbye party.,They try to understand themselves better.,They can consult their advisors.,They should act with courage.
4/20/2026 15:40:46,p39,41,Male,I feel betrayed because I trusted those people,I choose the simplest solution or the one that seems easiest to implement,"I'm trying to figure out why, so I can do better next time","I’m obviously happy, but I try to figure out why it worked","I try to find the one that costs me the least, or I just go along with it and see if we can do better later or another time","Usually, I don't care, but then again, it obviously depends on who it is","I’ve done it several times before; in the end, it’s not a big deal—it’s just a tough blow at the time, but in reality, everything eventually passes",try to figure out why and how to approach it differently so that it works again,definitely creation or something creative; otherwise it just ends up coming back on its own,I'm just trying to focus on other things to do and let time take care of the rest,we risk losing people's trust sooner or later,"a setback or conformity, depending on the situation, but in no case for the right reasons",life but we can learn from it,too ?,?,he sympathizes ,it costs him personally,what is beliefs? ,"Life is a gamble; to win, you have to play","After all, isn't that true of most of our decisions?"
