"Participant ID","Assigned Kegan Stage","Overall Reasoning","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20"
"S23.1","Stage 2/3","Transitional 2/3, deeply embedded in rigid rules (Honor Code) and squad loyalty, moving from instrumental to socialized identity.","S3: Trust of squad","S3: Honor Code/brothers","S3: Lean on squad mates","S3: Represent uniform","S3: Integrity/Honor Code","S3: Setting right example","S3: Duty to team first","S3: Rely on each other","S3: Mission/squad before self","S3: Trust training/people beside me","S3: Chain of command/morale","S3: Team needs above own","S3: Need squad support","S3: Share credit with brothers","S3: Talk to friends/support team","S3: True loyalty/brotherhood","S3: Carry bonds/memories","S3: Core values/friends guide","S3: Serve others/teammate","S3: Trust squad/honorable"
"S34.1","Stage 3/4","Transitional 3/4, pushing back against group expectations to establish self-authored professional boundaries and vision.","S4: Re-evaluate trust","S4: Own gut/consequences","S4: Adjust strategy","S4: Validated approach","S4: Won't bend core vision","S3: Felt respected","S4: Move on/next goals","S4: Design new way","S4: Priorities/objectives","S4: Control/judgment","S4: Dictate worth","S4: Own view/lose who you are","S4: Own failure/learn","S4: Stick to guns","S4: Groupthink dangerous","S4: Chose themselves/not pressured","S4: Build identity","S4: Rewrite rules","S4: Personal vision","S4: Decide for yourself"
"S34.2","Stage 3/4","Transitional 3/4, struggling to differentiate authentic internal beliefs from the expectations of family and friends.","S3: Hurts/respect expectations","S4: What I truly believe","S4: Path is my own","S3: Parents acknowledge","S4: Won't give up core beliefs","S4: Validated own ideas","S4: Grow into independent person","S4: New system that makes sense","S4: Trust own judgment","S4: Control mindset/values","S4: Assert own perspective","S4: Stick to own view despite friction","S4: True to themselves","S4: Individual contribution","S4: Don't blindly follow","S4: Strong personal convictions","S4: Author own life","S4: Believe vs taught","S4: Weigh against internal compass","S4: Trust own gut"
"S34.3","Stage 3/4","Transitional 3/4, experiencing intense inner conflict (sick to stomach) between professional standards and interpersonal harmony.","S3: Hurts relationship","S3: Struggle to explain choice","S3: Let people down","S3: Celebrate together","S3: Middle ground vs best for students","S3: Validated/nervous about approval","S3: Relationships built","S4: Professional judgment","S4: Core standards vs agonizing","S3: Anxious/stay on same page","S4: Right professionally but terrified","S4: Sick to stomach holding standards","S3: Feel terrible/let team down","S3: Relieved administration pleased","S4: Professional responsibility vs sick","S3: Dedication to team","S3: Grieve connections","S3: Hope for peer support","S4: Truest to own standards vs supporting","S4: Internal compass vs disappointing"
"S34.4","Stage 3/4","Transitional 3/4, asserting leadership autonomy and taking definitive responsibility over team consensus.","S4: Damage trust","S4: Trust gut/make call","S4: Take responsibility/adjust","S4: Vision was right","S4: Own final result/control","S4: Fully in charge","S4: Executive decisions","S4: Pivot/create new system","S4: Own goals/priorities","S4: Steering the ship","S4: Stand up for own work","S4: Stick to own view/identity","S4: Own the failure","S4: Direction/final decisions","S4: Override group","S4: Respect dedication vs pushover","S4: Redefine who they are","S4: Take ownership of direction","S4: Personal vision/identity","S4: Trust judgment/burden of leadership"
"S34.5","Stage 3/4","Transitional 3/4, shifting from seeking organizational praise to acting on self-authored principles of justice and integrity.","S4: Violates core values","S4: Standard for what's right","S4: Right thing matters more","S4: Right reasons vs pat on back","S4: Principles of justice","S4: Impact vs importance","S4: True to who I am becoming","S4: Aligns with true goals","S4: Real difference vs happy","S4: Grounded in values","S4: Advocate fair standard","S4: Stand by beliefs despite disappointment","S4: Integrity/right reasons","S4: Impact vs applause","S4: Hold the line on principles","S4: Value of right thing","S4: Identity vs title/validation","S4: Stand for apart from taught","S4: Authentic/effective advocate","S4: Internal compass"
"S34.6","Stage 3/4","Transitional 3/4, deeply aware of own needs but highly susceptible to guilt and fear of disappointing others.","S3: Hurt/understand their side","S4: Align with goals vs worry let down","S3: Blame myself","S3: Proud but hope others recognize","S3: Keep peace/kick myself later","S3: Self-conscious/validated","S4: Logically necessary","S4: New approach vs scary","S4: Prioritize own needs vs putting others first","S3: Worry what people think","S3: Speak up vs terrifying","S4: Paralyzed/true to self vs disappoint","S3: Let everyone down","S3: Relieved everyone happy","S3: Stay quiet to avoid conflict","S3: Admire but wonder about boundaries","S4: Torn right for them vs guilt","S4: Internal conflict/upset people","S4: Figure out want vs others think","S3: Worry make mistake/judged"
"S34.7","Stage 3/4","Transitional 3/4, overwhelmed and paralyzed by the conflict of competing external expectations, recognizing need for boundary.","S3: Hate letting people down","S3: Make both sides happy","S3: Failing people pleasing","S3: Boss satisfied/no guilt","S3: Middle ground for expectations","S3: Pressure to live up","S3: Forced by commitments","S3: Juggle demands","S3: Torn/wish someone would ease up","S3: Anxious about who is upset","S4: Loyalty vs treated right","S3: Pulled apart by expectations","S3: Let team/boss down","S3: Relieved pressure is off","S3: Stuck rocking boat vs expected","S4: Give up to keep peace","S3: Loss of identity tied to others","S3: Explain to people counting on them","S3: Wish one side made decision","S3: Do best/hope nobody furious"
"S45.1","Stage 4/5","Transitional 4/5, starting to deconstruct self-authored systems to integrate competing truths and systemic feedback.","S5: Competing commitments/systemic pressures","S5: Broader perspective/hold both","S5: Limitations of own agenda","S5: Unforeseen complexities","S5: Integrate conflicting frameworks","S5: Own meaning-making/biases","S5: Grieving loss of old paradigm","S5: Blind spots of mental models","S5: Biases/systemic trade-offs","S5: Collective capacity of group","S5: Clash of value systems","S5: Larger complex dynamic","S5: Separate identity/learn from feedback","S5: Interplay of diverse perspectives","S5: Valid if competing value system","S5: Interdependent nature","S5: Uncouple identity/reinvent meaning","S5: Transcend previous ideological framework","S5: Integrates complexities of becoming","S5: Provisional certainty"
"S45.2","Stage 4/5","Transitional 4/5, actively seeking out blind spots in own framework and finding integrated solutions beyond compromises.","S5: Competing commitments vs blame","S5: Underlying assumptions/too narrow","S5: Mental model incomplete","S5: Solving right problem","S5: Integrated solution vs compromise","S5: Test ideas against perspective","S5: Make space for new ways","S5: Framework needs to evolve","S5: Adjust priorities if new data","S5: Adaptable/open to learning","S5: Blind spots in viewing relationship","S5: Limits of own perspective/valid data","S5: Prove approach was incomplete","S5: Differing viewpoints essential","S5: Listen to group/missing something","S5: Larger system overrides individual","S5: Loosen grip on old identity","S5: Disruption shows framework too small","S5: Challenge current way of thinking","S5: Feedback loops to catch wrong"
"S45.3","Stage 4/5","Transitional 4/5, enjoying the breakdown of rigid models, embracing paradox, dialectics, and the fluidity of identity.","S5: Changing context vs moral failure","S5: Higher-order assumption","S5: Fascinated by unexpected reality","S5: Starting point for deeper complexities","S5: Dialectic/transcend conflict","S5: Shared inquiry/not absolute truth","S5: Let go of old paradigms","S5: Breakdown is where learning begins","S5: Priority provisional/context dependent","S5: Relief from closed system","S5: Clashing meaning-making systems","S5: Integrate competing voices","S5: See blind spots in original design","S5: Temporary construct","S5: Friction to complexify understanding","S5: Messy interdependence","S5: Disentangle identity/freeing","S5: Reshape mind that made it","S5: Surface valuable contradictions","S5: Ambiguity/adapt over certainty"
