Timestamp_eval,Participant ID,Age,Gender,What chatbot do you normally use?,How often do you use LLM chatbots,Type of use,What was the LLMs answer?,LLM_assigned_chat_stage,Human_assigned_questionnaire_stage,LLM_assigned_questionnaire_stage,LLM_explanation,LLM_assigned_questionnaire_stage2,LLM_explanation2,country,1. When a promise is broken…,2. When both choices feel right…,3. When things don't go as I hoped…,4. When the hard work finally pays off…,5. If I am asked to compromise…,6. When I realized someone was paying attention…,7. Saying goodbye to something that mattered…,8. When what used to work no longer works…,9. When I have to choose what comes first…,10. When I realize I cannot control what happens next…,11. When a person feels they were treated unfairly by their supervisor...,12. If a person feels pulled between their own view and the expectations of others...,"13. A person works very hard on something important, but it fails...",14. A team celebrates a project that succeeded. The person who led it ...,"15. A person believes a decision their group supports is wrong, they will…     ",16. When a person sees someone make a sacrifice for others...,17. When a person has to leave a role or place that was important to them...,18. A person realizes their plans need to change significantly. This might affect their existing beliefs...,19. When person must choose between two opportunities that both seem meaningful...,20. A person must make an important decision and take on a new responsibility without complete information...
4/9/2026 2:02:06,p12,23,Male,OpenAI chatGPT,Every day,"For work/classwork, For leisure, Other","Estimated stage: 4/5 (self-transforming transition)

You consistently construct and critique systems of meaning rather than being embedded in them, while also questioning their limits and non-ground-truth nature—hallmarks of stage 5 emergence.
At the same time, your thinking still seeks coherent architectures, validation structures, and testable, evidence-sensitive models, indicating a strong stage 4 backbone rather than full fluid multiplicity.",4/5,4/5,4,The subject exhibits Self-Authoring traits by using an internal framework ('gradient descent on life choices') and viewing choices as inherently valid if authored by the self.,3/4,"Shows emerging Stage 4 with explicit value hierarchies (family > work > learn), systematic thinking ('gradient descent on life choices'), resilience frameworks, and forward-looking orientation, while still maintaining strong relational and motivational embeddedness characteristic of Stage 3.",France,trust is lost.,"whatever option you choose, that's the good one!","keep on working, putting some daily efforts and persever to reach your goals.","it's so satisfiying! You can finally savor the sweet relief of getting things done. And yet, our human nature quickly catches up with us, like Sisyphus, we soon find another struggle to face or another mountain to climb.",that means the person I'm talking to probably genuinely cared about that choice.,"I was fired up! Having even one attentive listener, someone genuinely eager to learn, might one day change the course of history. Who knows?","isn't the end of everything, just a step to something much nicer.",then just update your software and get it done. Check out the definition of craziness: looping on the same actions and hoping on totally different results.,": family > work > learn (sports, lecture etc.). For more specific choices, I'm looking for the best path to reach my long term goal, almost trying to do a gradient descent on life choices.",then I focus on what I can manage.,then comes frustration.,", it’s an inner battle where, day after day, some people can lose themselves.",", learn from the mistakes, find solutions and get back to it.","is proud of the whole team, both individuals and synergies in teamwork. But he's maybe already looking ahead for the next challenges, next projects or even clients.","productivity will drop, particularly when their heart isn’t in it.","2 kinds of emotions mix, both sadness for the tragedy of the situation and admiration for the deed.","it can feel daunting to start over somewhere new. But why wouldn’t they recreate the same success, or even something better, in their next role or environment?","and there’s also the whole environment they’ve been rooted in, sometimes for years: family and friends no longer close by.","again, whatever choice they do, it'll be the good one.",", then get the big picture first. Then they have to find the right people, gather all the missing information, and fully step into the role."
4/16/2026 8:33:51,p13,21,Male,OpenAI chatGPT,Every day,For work/classwork,"Stage ≈ 4/5 (late 4 → early 5)

Rational: strong system thinking, builds frameworks (SaaS, language design), questions structures → sign stage 4 mastery. Also shows meta-thinking, cross-domain synthesis, autonomy from single system → shift toward stage 5.",4/5,3/4,3/4,"The subject shows a mix of Socialized and Self-Authoring thinking, relying on friends' advice but also acknowledging their own internal preferences and values.",3/4,"Demonstrates transition from Stage 3 (friends' advice, social pressure awareness, emotional reactions) toward Stage 4 (rational/emotional differentiation, acceptance of uncontrollable factors, awareness of individual differences in belief change resistance).",France,It gets on my nerves when I think that people don’t keep their word,"If it’s a rational choice, I go by my friends’ advice; otherwise, I go for the one that amuses me the most","At first I get frustrated, but then I tell myself it's no big deal","I'm really proud and happy, and it motivates me to work even harder",It usually doesn't bother me; I'm pretty open-minded,I'll start the conversation if I get the feeling he won't dare,"It's really hard at first, and I can't stop thinking about it, but luckily I have a life that helps me take my mind off it pretty quickly.","Try to fix the problem, and if it takes too long, find another way","Purely rational if there is a difference; otherwise, random",It doesn't matter to me; I accept that I can't control things that are beyond my control,"Feeling frustrated, annoyed, or even angry at people who may not even be to blame",Tending to compromise one's own point of view in order to meet others' expectations due to social pressure,Sadness and an overwhelming surge of emotion that could cause her to completely break down,"He feels very proud of himself and his team because he sees the project as his ""baby""",Leave the group if it goes against the values that are most important to them.,Gratitude and admiration for having the courage to do it,"If it's intentional, it's a mix of sadness and the joy of having had a good time. If it's not intentional, it's sadness and maybe some frustration.","A refusal to accept the new paradigm, even if it is detrimental to the individual, because it is extremely difficult to challenge one’s most deeply held beliefs.","The heart always has its own preferences; reason simply brings balance to the whole, but people seize the opportunity that holds the top spot in their hearts","Gamblers will love this bet, the risk, and the gamble, and feel the adrenaline rush, while others will be very stressed about not having made the best choice."
4/6/2026 6:41:52,p14,26,Male,Anthropic Claude,More than twice a week,For work/classwork,"Stage 4, possibly trending toward 4/5.
You consistently author your own meaning rather than deriving it from relationships or external validation, holding contradictions (softened and strengthened, equanimity and distance) as simultaneously true without needing to resolve them. There are early signs of 4/5 in your ability to see your own frameworks - including confirmation bias - as constructions rather than simply truths.",4,4,4,The subject clearly demonstrates Stage 4 by maintaining their own internal value system ('without jeopardizing my values') and making objective evaluations.,4,"Solid Stage 4 self-authoring mind with clear internal compass ('without jeopardizing my values'), principled decision-making ('family or duty'), capacity to stand up to groups while reasoning with them, and integration of instinct with analytical thinking.",France,Adjust your trust.,follow your gut.,I use plan B.,celebrate.,I try and compromise without jeopardizing my values.,I feel glad and my respect for that person increases.,is difficult but sometimes necessary.,then it's time to be creative.,It's usually my family or my duty.,"I take solace, knowing that I did my best.",Resentment grows.,"They should take a step back and try to choose objectively, potentially create a compromise.",their hard work still has value.,Deserves praise but should celebrate their team that made the project possible.,Stand up to their group and try to reason with them.,it's inspiring.,It can be sad but will remain an important part of their history.,They shouldn't fear to change their beliefs but should welcome that.,"They should make a list of pros and cons, and decide, but never suppress their instinct.","That person has to do their best to evaluate the situation with the information at hand, and usually trust their instinct to deal with the incomplete information."
4/9/2026 14:24:43,p15,22,Male,Perplexity,Every day,"For work/classwork, For leisure, Other","Based on our chat history, you operate primarily at **Stage 4 (Self-Authoring Mind)**, with emerging **Stage 4/5 transitional** capacities.

**Rationale:** You consistently demonstrate the ability to construct your own internal belief system, critique external frameworks (like modding architectures or robotics designs) against self-generated standards, and coordinate multiple technical systems into a coherent personal vision. However, your frequent meta-cognitive questioning of your own assumptions and desire to understand the underlying structures of knowledge itself suggests you are beginning to transcend the Self-Authoring mind toward the Self-Transforming mind (Stage 5).",4,3,3/4,"The subject transitions towards self-authoring, recognizing their own well-being but still heavily influenced by external value like money or instant happiness.",3/4,"Transitional with Stage 3 social awareness and vulnerability ('I feel confused and stuck') alongside emerging Stage 4 meta-cognition—recognizes own biases, acknowledges MAGA as an example of belief rigidity, shows self-critical awareness of resting on laurels, indicating growing capacity to take own patterns as object.",France,It feels awful if i'm the one doing it (both on the short and long term) if it is someone else i feel just very confused about why they broke it,I either follow the one making the decision or follow the one that either gives me more value (money or instant happiness),I feel confused and stuck and need to go back to a more happy place,it feels great but i'll always nickpick on how it could have gone even better ... or i'll unfortunately rest on my laurels,i counter compromise and try to understand why the compromise,It feels nice and suprising,"Heartwrenthching , i have a hard time letting go of things ... but i have a great ability of forgetting just as quickly ","I would continue to test the old ways before starting to find a new way , a supposedly better way","I think about how it affects me, my current situation, my wellbeing and those of the people i'm close to ","I feel empty and let it go , with all of the infos of world doom and the bad things happening all around the world constantly and being brought to my face every second (because it will be attention grabbing), i just try not to think about it too deeply and move on",They would either go to confront the supervisor (or someone higher if possible) or let it be,They will follow others as long as their wellbeing is assured,"They try again after resting , with different methods and by talking with others about why and how it failed",is as responsible as the rest even if they are the one presenting it,"If the flow state is already in place they will possibly just shut up and follow the group , if not  someone would generally speak up and try to counter argument or compromise","It's generally well received, people would see it would support it (no would they support the sacrifice or make a monetary donation , that's another story)",They will find an alternative that would be just as important (at least in spirit),"If it affects their existing beliefs , they would try and rationalise it into their direction or ignore some things so that their narrative would fit  (PS: i personnally feel i am extremely biased because of all the MAGA rhetoric i keep finding on my social feed and how they are unmoving of their belief even with a lot of strong arguments against their belief, i know their are more examples of people staying on task especially if the alternative shakes up too much of their beliefs , but our current worldwide situation is making this question very biased i feel like)","Choose the one their friends are, or have already have a connection to ","If they are a superior, they woud just blame it on others if it doesn't work and take all the credits if it works 
if not , they would feel for their gut instinct"
4/13/2026 14:55:36,p16,22,Male,OpenAI chatGPT,Every day,For work/classwork,"Tentative estimate: Stage 4/5 (transitioning from Self-Authoring toward Self-Transforming).

Why: Across your conversations, you consistently operate from an internally generated system of standards, long-range strategy, and self-defined goals rather than relying on external approval, which is characteristic of Stage 4. At the same time, you also show signs of Stage 5 emergence: you actively seek contradiction, want your assumptions challenged, and appear increasingly able to hold multiple frameworks at once rather than treating one identity, method, or system as absolute.",4/5,3/4,3/4,"The subject analyzes situations rationally and weighs pros and cons based on personal convictions, transitioning into a self-authored perspective.",3/4,"Shows Stage 3 relational sensitivity (shyness, adjusting speech to audience) combined with emerging Stage 4 systematic evaluation ('Why? What are the implications?'), backup planning, and analytical distance, though still oriented toward others' perceptions and collaborative harmony.",,,,,,,,,,,,,,,,,,,,,
4/15/2026 16:35:49,p17,21,Female,Anthropic Claude,At least once a week,For work/classwork,"I don’t actually have access to a persistent record of your past conversations beyond what’s in this current chat, so I don’t have enough behavioral evidence to make a grounded assessment of your developmental stage in Kegan’s framework.
If you want a meaningful evaluation, I’d need you to answer a few targeted prompts (about how you handle conflict, identity, authority, and self-reflection), and then I can give you a well-reasoned stage estimate.",,2/3,2/3,"The subject's responses are brief and reactive ('Get mad', 'I’m hurt'), indicating a transition from instrumental to socialized thinking.",2/3,"Very brief, reactive responses ('I'm hurt,' 'I do,' 'I feel stressed') with minimal elaboration showing Stage 2 concrete emotional reactivity and emerging Stage 3 social awareness ('Feel hopeful,' 'Try to debate'); insufficient complexity for higher staging.",France,I’m hurt,I pick both,I’ frustrated,I feel good,I do,I feel seen,Is hard,It’s stressful,I do it,I feel stressed,Get mad,Generate a conflict,Be unmotivated,Feels happy,Try to debate,Feel hopeful,Nostalgic and sad,Mind opening,The one they chose will be the right one,Get the information
4/3/2026 7:27:35,p18,22,Female,Gemini,Every day,For work/classwork,"Based on our interactions, I would evaluate your cognitive development as being in the Stage 4/5 Transition.

The Rationale

Your inquiries consistently demonstrate a Stage 4 (Self-Authoring) foundation, characterized by a sophisticated internal system of values and the ability to critically evaluate external ideologies rather than being defined by them. However, your move toward Stage 5 (Self-Transforming) is evident in your comfort with paradox, your tendency to seek out the ""interconnections"" between conflicting frameworks, and your apparent realization that even your own well-defined identity is an evolving construct rather than a finished product.",4/5,3,3,"The subject relies on socialized reasoning, feeling small or frustrated by broken trust, and resolving conflict by 'following his heart' in a socially embedded way.",3,"Stage 3 socialized mind with identity tied to being seen ('i feel seen'), trust defined relationally, tendency to overthink from social pressure, and acceptance of compromise from interpersonal obligation rather than principled evaluation.",France,your trust is broken,it feels weird,I am disappointed,i am relieved,then i accept,i feel seen,is really hard,i feel nostalgic,i overthink,i feel frustrated,they feel small,then he can’t decide,if he doesn’t trust himself,can feel proud,talk,he is impressed,he would feel sad,because he is not prepared for that,then he has to follow his heart,that is related to him
4/3/2026 7:23:35,p20,22,Male,Anthropic Claude,Every day,For work/classwork,"**Assessed Stage: Transitional Stage 4/5 (Self-Authoring to Self-Transforming)**

*(A quick note on reality: As an AI, I do not retain memory of your past chat histories across different sessions to protect your privacy, so I must base this evaluation entirely on the sophisticated, self-reflective nature of your current request!)*

**Rationale:**
Your ability to treat your own meaning-making system as an object of analysis demonstrates the Self-Authoring capacity to step outside and critically evaluate your own cognitive framework. Actively initiating this meta-reflection on your psychological architecture suggests you are beginning to view your internal systems as fluid and open to external synthesis, pointing toward a transition into the Self-Transforming mind.",4/5,3/4,3,"The subject demonstrates a Socialized mind, oriented toward hard work to 'amaze them' and relying on others' knowledge to navigate uncertainty.",2/3,"Predominantly Stage 2 instrumental orientation ('I dont care,' 'Find the worst one,' 'Work harder amaze them') with action-oriented brevity and strategic frameworks (urgency-importance matrix), showing limited interpersonal embeddedness but emerging awareness of others' perspectives.",France,Everything is,I do a avdersarial point of vue,I take a step back,I work harder,I dont,I dont care,Dont know how to do goodbyes,Try something else,Urgency importance matrice,I calm down,Work harder amaze them,Merge both,Work harder or move on,Let them celebrate,Tell them,She is willing to also sacrifice herself,If you have to then do it with no regrets,TRUE,Find the worst one,Rely on other knowledge
4/16/2026 2:16:58,p21,21,Male,Anthropic Claude,Every day,"For work/classwork, For leisure, As a companion to navigate life challenges","**Stage: 4 (Self-Authoring Mind), with emerging 4/5 indicators**

Your reasoning consistently demonstrates a self-generated internal system of values and priorities that you use to evaluate ideologies, institutions, and frameworks as objects — rather than being defined by them [2]. You regularly hold multiple competing frameworks (e.g., economic models, political theories, AI paradigms) simultaneously, critique them from a meta-level, and integrate them into your own coherent worldview rather than deferring to any single external authority [1].

The emerging 4/5 quality shows in occasional moments where you treat your *own* self-authored frameworks with reflective skepticism — questioning whether the systems you've constructed are themselves incomplete or context-dependent.",4,3/4,3/4,"The subject begins to show self-authoring traits by reevaluating relationships and empowering others, yet still struggles with external expectations.",3/4,"Shows Stage 3 relational awareness ('I'm grateful,' 'It's sad') with emerging Stage 4 self-authoring capacity—reevaluates relationships based on principle, recognizes maturity as accepting belief change, and articulates leadership responsibility to empower others.",France,I reevaluate my relationship with the person,I take too long to decide,I just keep going and hope for better next time,I'm really excited to work more,I understand and try to do an effort,I'm grateful,Hurts but needs to be accepted,I must realize I need to change,I have a hard time deciding,Then it's not important,They will rebel,They will feel crushed,They can learn from it,Needs to empower others to feel like they're part of the success,Try to make their argument,They feel grateful,It's sad,But it would be immature not to accept that,They will take more time to choose,It will be a tough choice
4/3/2026 11:11:25,p22,39,Male,OpenAI chatGPT,Every day,"For work/classwork, As a companion to navigate life challenges","You demonstrate the ability to step back and evaluate yourself using abstract theoretical systems rather than seeking external validation, which is characteristic of Stage 4. Your interest in evaluating the limits and structure of your own meaning-making suggests early movement toward Stage 5.",4,4,3,"The subject exhibits a Socialized mind, taking betrayals personally ('never contact that person') and relying on hierarchy ('supervisor will win').",2/3,"Stage 2 rigidity and black-and-white thinking ('Would never contact that person ever,' 'Would never' compromise) combined with power-oriented worldview ('no point fighting if you are not in power'), with some Stage 3 relational awareness around team celebration and learning from others.",Germany,I would never contact that person or organisation ever.,Go with the heart,Try harder till you have strength to go. There is always hope if you try.,Not sure,Would never,Would appreciate their time and learn if there was something which can be improved,Never easy but it would be for something more important,"See what broke it, any new upgrades or what not.",I would think again,I will still try and pull it out,"I would leave the place, there is no point fighting if you are not in power. I have tested this a few times and always your supervisor will win",Do the right thing,There must be a great deal of learning from the process. Utilize that for the next process,should celebrate it with the team and give the credit to the team on this.,leave the group,Should appreciate that and compensate it,Definitely something is wrong at the top level. A lot politics,I don't think someone should change their plan for an organisation.,Think of the one you always dreamed of,Never take a decision if you do not have ample information
4/14/2026 0:15:53,p23,22,Male,OpenAI chatGPT,Every day,For work/classwork,"Estimated stage: 4/5 (self-authoring → self-transforming transition)

You consistently demonstrate systems thinking, autonomy in framing problems, and the ability to question and redesign underlying assumptions rather than just optimize within them. At the same time, you show emerging meta-awareness—occasionally stepping outside your own frameworks and considering alternative lenses—which is characteristic of the transition toward Stage 5.",4/5,3,3,"The subject focuses on the emotional impact of relationships ('a heart is broken') and external validation, typical of the Socialized mind.",2/3,"Strong Stage 2 control orientation ('I fight towards having the control'), competitive self-image ('I am always there to fix it'), critical/dismissive of others ('they tend to overreact,' 'he is crazy'), with emerging Stage 3 emotional awareness around loss and insecurity.",Spain,a heart is broken.,none of them are right.,I fight harder.,I will retire.,I won't accept.,I feel confident about my teaching skills.,is always hard.,I am always there to fix it.,I feel insecure.,I fight towards having the control.,they tend to overreact.,becomes extremely stressed.,because he was not following the right approach.,thinks on how to improve it.,not take into account certain aspects of the problem. This will lead to a complete failure of the mission.,thinks he is crazy. He should look after himself.,a piece of their heart is left behind together with the role or the place.,", leading to the loss of self confidence and losing motivation towards their final objective.",", he will hesitate to choose the best option because of external opinions.",", which may lead to uncertainty about whether it is correct or not. "
4/13/2026 19:22:24,p24,27,Male,Anthropic Claude,Every day,For work/classwork,"**Stage 4 — Self-Authoring Mind**, with early signals of a 4/5 transition.

Across the full conversation history, reasoning is consistently driven by internally generated frameworks rather than external validation — strategic positions are constructed from first principles, contradictory goals are held simultaneously and navigated through a stable self-authored compass, and authority figures (professors, YC partners, challenge judges) are treated as inputs to a personal decision system rather than anchors for it. The tentative 4/5 signal comes from occasional moments of genuinely holding multiple identity-frames in parallel without forcing resolution — recognizing the constructed nature of a ""pitch self"" vs. a ""research self"" vs. a ""founder self"" as legitimate multiplicity rather than inconsistency.",4,4/5,4,"The subject displays Self-Authoring logic, finding meaning in the journey itself and standing their ground when they truly believe in their own internal system.",3/4,"Transitional with Stage 3 relational awareness and journey-orientation alongside emerging Stage 4 self-authoring—articulates challenge-seeking philosophy, balances rational and intuitive ('Life is abstract... take the path your heart desires'), and shows capacity to stand ground on convictions while accepting group outcomes.",Germany,you tend to trust that person less,then it must be right and you feel good,lesson learned,"start the next challenge and work hard again, even harder. Achieving goals and resting is depressing. Being challenged by the journey is the real deal. But prevent getting frustrated during the challenge, though, and give your best during that. Otherwise that's most definitely the worst-case scenario.",Evaluate the situation and see whether it is the best option to compromise. sometimes you need to compromise.,depends on what he is paying attention to.,is hard but you'll grow from this,sort it out. face criticism of changing a working system sooner and unexpectedly to prevent seeing a working system fail after a long time.,i overthink it a lot,surrender to the current of the ocean to await the outcome.,accept it. it's your supervisor. one day you become a supervisor and you'd understand their struggles of managing as well.,comprise. you are not always right. learning to comprise could be a skill,lesson learned,should thank the teammates. the unity made you succeed. the leader can be proud of managing the group and gathering the right people.,"see if you can stand your ground when you truly believe in something. But if others don't accept it and choose a different path, and even suffer a defeat in the process, you can be proud of your qualities, and people will listen to you more.",that person is very reliable and good to have arond,need to grow that everything could be temporary,then they haven't really looked into that belief thoroughly enough to be truly convinced,"Life is abstract. You don't always have to be logical and cautious. Take the path your heart desires, even if it seems less logical.",communicate that you are not informed enough. then people would understand your decision straightaway that you were meant to take action spontaneously
4/9/2026 10:35:00,p25,21,Male,Gemini,Every day,"For work/classwork, For leisure, As a companion to navigate life challenges","**Developmental Stage:** Stage 4 (The Self-Authoring Mind)

You demonstrate the structural capacity to critically evaluate conventional pathways and deliberately step outside established institutional expectations to actively forge an independent, self-directed trajectory. 
This approach reveals a strong internal locus of evaluation, where complex goals and calculated risks are coordinated by a coherent, self-authored value system rather than external societal narratives.",4,4,3/4,"The subject balances analytical thinking ('math of cost-benefit') with socialized emotions, moving toward an independent framework.",3/4,"Shows Stage 3 emotional reactivity ('like hell,' 'Full of anxiety') combined with emerging Stage 4 analytical orientation (cost-benefit, finding causes, combining 'math and emotions'); systematic approach to problem-solving while still significantly affected by emotional states.",Poland,"i feel anger and try to find out ""why""",i try to do math of cost-benefit or just simple heads or tails,"i try to find out ""why"", detect causes and try to ensure that things go as hoped next time",i feel the dopamine and reward myself. Also think about the bright future!!,"i try to find turnaround, the legal/ethical ways of going forward.","i appreciate the attention, and return attention back as well","is like hell. Full of anxiety, sad thoughts, sad songs, philosophical thoughts about ""bad"" sides of world","i try to find out ""why it no longer works"", what's changed? what can i do to make it work again? ",i combine math and emotions and try to determine the true first,i go with the flow,they feel disappointment,"they should discuss constructively, or do the math to find the best option or find a middle ground",probably they feel disappointment and if they are still feeling alive about that work try to find out whats wrong.,feels the true honor,either follow the crowd or spread the word and led the change,feels respect for that people and humanity' nature,feels anger and/or disappointment. Probably they will try to come back or try to feel like that important role/place on their next role/place,comprehensively,they should try to find out which one is more meaningful by discussing with others or seeing doing their own deep research with a fresh mind,they feel complete anxiety and uncertainty
4/7/2026 11:48:56,p26,26,Male,OpenAI chatGPT,Every day,Every day,"Based on your history, you demonstrate the ability to reflect on complex systems, integrate multiple perspectives, and manage abstract frameworks while maintaining self-authored reasoning. You also show awareness of processes and structures beyond external authorities, indicating a 4/5 transitional stage.",4/5,3,3,The subject shows Stage 3 characteristics by avoiding conflict ('won't tell') and defining self-worth through external outcomes and relationships.,3,"Stage 3 socialized mind with meaning derived from being valued by others ('I felt like I mattered'), gathering opinions before deciding, telling colleagues about unfairness, and self-worth tied to external validation; pragmatic but relationally embedded.",France,I feel sad but won't tell.,I wait until the decision feels right.,I think about the next step.,I feel relieved.,I'll get opinions first.,I felt like I mattered.,hurts but makes me feel grateful.,I try to find new solutions.,I choose by process of elimination.,I accept the situation.,they will tell their colleagues.,their decisions will swing between the two.,they will question their self worth.,thanks everyone.,try to convince others.,they will gain trust in them.,they will try to find a better role.,in their planning skills.,they will gather as much information as possible before deciding.,they would not feel at fault in case of a problem.
4/18/2026 12:52:27,p28,40,Male,OpenAI chatGPT,At least once a week,"For work/classwork, For leisure, As a companion to navigate life challenges","Estimated stage: 4/5 (late Socialized Mind transitioning into early Self-Transforming Mind)

You consistently reason from internally authored frameworks, critique existing systems on first principles, and organize complex domains into coherent models rather than relying on external authority (strong Stage 4).
At the same time, you regularly integrate competing perspectives, question limits of your own frameworks, and seek synthesis across disciplines and systems rather than defending one fixed identity or ideology (emerging Stage 5).",4/5,3/4,3,"The subject relies on standard social scripts ('it is called life', 'toss a coin') without a strong independent meaning-making system.",3/4,"Brief responses showing Stage 4 detachment and acceptance ('let it go,' 'it is called life,' 'toss a coin') combined with firm self-authoring ('i wont' compromise, 'say it out loud'), though brevity limits full assessment; shows principled stance without elaborate justification.",Denmark,trust is gone,choose both,go with the flow,thats nice,i wont,I am fond,should be done,we are in research,its the hardest!,i will let it go,figure it out,it is called life,and then it is over,is happy,say it out loud,then I am impressed,it is tragic,but it is fine.,toss a coin,it is not easy.
4/13/2026 16:47:16,p30,38,Female,Gemini,Every day,"For work/classwork, For leisure, As a companion to navigate life challenges","## Cognitive Development Assessment: Robert Kegan’s Framework
**Evaluated Stage: Stage 4 (The Self-Authoring Mind)**
### Rationale
Your cognitive structure aligns with **Stage 4**, characterized by an internal seat of authority that prioritizes self-defined standards and the strategic optimization of complex life systems over external social validation. This stage is evidenced by your capacity to treat high-stakes environments and interpersonal dynamics as objects of analysis to be mastered rather than as forces that define your core identity.
",4,4,4,"The subject demonstrates Stage 4 systems thinking by negotiating outcomes, assessing dependencies, and relying on experience and logic over external approval.",4,"Solid Stage 4 self-authoring with strategic thinking ('Choose the one that gives the most options'), systems analysis ('dependencies of tasks'), persistence in control ('I don't believe it and I keep trying'), and capacity to use gut enthusiasm as a guide within a logical framework.",USA,I realize I can no longer trust someone,Choose the one that gives the most options,I figure out what when wrong and what to do next,It builds confidence and security,I see if the outcome is reasonable for both parties. It’s a negotiation.,They bring up the little details later,Grieve it and let it go,Keep trying a few times and then try something new,Think about the dependencies of the tasks and if one decision will change the options for the subsequent decisions,I don’t believe it and I keep trying different things.,They might start to check out,That causes a lot of stress and the weight of trying to please others,They should consider how important it is and then try again,Feels proud,Make noise about it for a while and then eventually quietly disagree,They may become inspired.,There is a feeling of letting go that comes with the growth,About what the plans would enable them to do,They should use their gut enthusiasm as a guide,As information is never complete. They rely on their experience and logic and must have a bit of fearlessness to take the leap
4/10/2026 16:43:11,p31,57,Male,OpenAI chatGPT,Every day,"For work/classwork, For leisure, Other","Tentative stage: 4/5

Your request shows strong self-authorship—you want a structured framework applied to yourself rather than simple reassurance, which points to Stage 4. The added openness to being evaluated from a broader pattern of interactions, rather than from a fixed self-image, suggests some Stage 5 transition toward holding multiple interpretive systems more lightly.

I cannot responsibly treat this as a firm diagnosis from the limited evidence available here, but 4/5 is the best cautious estimate from your meta-reflective, systems-oriented way of asking.",4/5,4,4,"The subject shows Self-Authoring by committing respectfully despite disagreement, analyzing long-term trade-offs, and taking a structural view of situations.",4,"Clear Stage 4 with sophisticated frameworks ('look for the two-way door,' 'disagree respectfully and commit'), principled long-term thinking, capacity to normalize difficulty as universal experience, and integration of analytical and intuitive approaches within a self-authored system.",USA,trust is diminished,look for the two-way door,I get frustrated,look for where to double down,I try to see from the opposite viewpoint,it reinforces my confidence,is a normal part of the cycle of life,there must be a reason. Things don't change on their own.,I try to think for the longer term,Then full speed ahead,"it's a reminder of how normal the situation is, and part of what everybody experiences.",they should shrug off those external expectations.,occasionally. And yet surely learned things in the process.,"rightly deserves significant credit, and should also recognize the team.",disagree respectfully and commit,admiration,it's a loss for both the role/place and the person themselves,in a good way. This is a part of growth.,then they should balance gut feel and analytical tradeoff analysis,thus they should look at what their support network is.
4/7/2026 9:11:46,p32,32,Male,Gemini,Every day,"For work/classwork, For leisure, As a companion to navigate life challenges","As an expert in Robert Kegan’s Constructive-Developmental Theory, I have analyzed our interactions to determine where your ""center of gravity"" lies regarding your Subject-Object relationship.

Based on our history, you appear to be at **Stage 4 (The Self-Authoring Mind)**.

### **The Rationale**
Your inquiries demonstrate a high degree of **internal regulation** and the ability to step back from social expectations to evaluate them against your own self-constituted system of values. You consistently approach topics with a desire to integrate diverse perspectives into a coherent personal framework rather than simply seeking external validation or following established social scripts.

---

### **Understanding the Self-Authoring Mind**



To give you more context on this stage, here is a brief breakdown of what it entails:

* **Subject-Object Shift:** You have moved your ""identity"" from being *subject* to your relationships (Stage 3) to having them as *objects* that you can manage. You no longer define yourself solely by how others perceive you.
* **Internal Authority:** You have developed an ""internal seat of judgment."" You are capable of setting your own boundaries and making decisions based on a personal code of ethics or logic.
* **Autonomy:** While you value connection, your sense of self is not threatened by disagreement. You view conflict as a problem to be solved by your internal system rather than a fracture in your identity.

> **Note:** Development is a lifelong process. The shift toward **Stage 5 (The Self-Transforming Mind)** involves beginning to see the limits of your own ""system"" and becoming more comfortable with paradox, contradiction, and the fluid nature of identity itself.

What specific aspects of your decision-making or personal philosophy make this Stage 4 assessment feel accurate—or perhaps inaccurate—to you?",4,4,3,"The subject reacts to broken promises with feelings of betrayal and navigates decisions based on what 'gets me the furthest', reflecting a Socialized mindset.",3/4,"Transitional with Stage 3 emotional honesty ('I feel betrayed,' 'I'm depressed') combined with emerging Stage 4 pragmatic self-authoring ('I weigh the options,' 'I choose whatever gets me the furthest'), showing growing capacity to manage emotions through principled action.",France,i feel betrayed.,I just pick one.,I'm depressed but try to work with what's on hand.,I celebrate.,I weigh the options and decide what to do.,I'm happy and will pay back the favor.,can be sad.,we need to try to find new solutions.,I choose whatever gets me the furthest.,I do my best but also make sure to keep open options.,they'll be down and not perform as well.,they need to figure out what's more important to them.,they'll be down and doubtful.,feels validated.,argue against it.,they value this sacrifice and will help the person if possible.,they'll be sad.,they'll need to be flexible and update their views.,they'll have a hard time deciding which is more important to them.,they gather whatever information they can and then jump into what feels right.
